"year","Annual_SW","August_SW","September_SW","October_SW","Annual_GW_UL","August_GW_UL","September_GW_UL","October_GW_UL","Annual_GW_LC","August_GW_LC","September_GW_LC","October_GW_LC","Total.cms","August.cms","September.cms","October.cms"
1900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1918,27136.56,12685.5804379499,3401.86496903058,0,0,0,0,0,0,0,0,0,0.000859905696250666,0.00473625315036959,0.00131244790471859,0
1919,27136.56,12685.5804379499,3401.86496903058,0,0,0,0,0,0,0,0,0,0.000859905696250666,0.00473625315036959,0.00131244790471859,0
1920,27136.56,12685.5804379499,3401.86496903058,0,0,0,0,0,0,0,0,0,0.000859905696250666,0.00473625315036959,0.00131244790471859,0
1921,27136.56,12685.5804379499,3401.86496903058,0,0,0,0,0,0,0,0,0,0.000859905696250666,0.00473625315036959,0.00131244790471859,0
1922,27136.56,12685.5804379499,3401.86496903058,0,0,0,0,0,0,0,0,0,0.000859905696250666,0.00473625315036959,0.00131244790471859,0
1923,27136.56,12685.5804379499,3401.86496903058,0,0,0,0,0,0,0,0,0,0.000859905696250666,0.00473625315036959,0.00131244790471859,0
1924,27136.56,12685.5804379499,3401.86496903058,0,0,0,0,0,0,0,0,0,0.000859905696250666,0.00473625315036959,0.00131244790471859,0
1925,27136.56,12685.5804379499,3401.86496903058,0,0,0,0,0,0,0,0,0,0.000859905696250666,0.00473625315036959,0.00131244790471859,0
1926,27136.56,12685.5804379499,3401.86496903058,0,0,0,0,0,0,0,0,0,0.000859905696250666,0.00473625315036959,0.00131244790471859,0
1927,27136.56,12685.5804379499,3401.86496903058,0,0,0,0,0,0,0,0,0,0.000859905696250666,0.00473625315036959,0.00131244790471859,0
1928,27136.56,12685.5804379499,3401.86496903058,0,0,0,0,0,0,0,0,0,0.000859905696250666,0.00473625315036959,0.00131244790471859,0
1929,27136.56,12685.5804379499,3401.86496903058,0,0,0,0,0,0,0,0,0,0.000859905696250666,0.00473625315036959,0.00131244790471859,0
1930,27136.56,12685.5804379499,3401.86496903058,0,0,0,0,0,0,0,0,0,0.000859905696250666,0.00473625315036959,0.00131244790471859,0
1931,27136.56,12685.5804379499,3401.86496903058,0,0,0,0,0,0,0,0,0,0.000859905696250666,0.00473625315036959,0.00131244790471859,0
1932,27136.56,12685.5804379499,3401.86496903058,0,0,0,0,0,0,0,0,0,0.000859905696250666,0.00473625315036959,0.00131244790471859,0
1933,27136.56,12685.5804379499,3401.86496903058,0,0,0,0,0,0,0,0,0,0.000859905696250666,0.00473625315036959,0.00131244790471859,0
1934,27136.56,12685.5804379499,3401.86496903058,0,0,0,0,0,0,0,0,0,0.000859905696250666,0.00473625315036959,0.00131244790471859,0
