"year","Annual_SW","August_SW","September_SW","October_SW","Annual_GW_UL","August_GW_UL","September_GW_UL","October_GW_UL","Annual_GW_LC","August_GW_LC","September_GW_LC","October_GW_LC","Total.cms","August.cms","September.cms","October.cms"
1934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1950,0,0,0,0,43983,3732.98562628337,3612.56673511294,3732.98562628337,0,0,0,0,0.00139373716632444,0.00139373716632444,0.00139373716632444,0.00139373716632444
1951,0,0,0,0,43983,3732.98562628337,3612.56673511294,3732.98562628337,0,0,0,0,0.00139373716632444,0.00139373716632444,0.00139373716632444,0.00139373716632444
1952,0,0,0,0,47815.5,4058.26283367556,3927.35112936345,4058.26283367556,0,0,0,0,0.0015151817628717,0.0015151817628717,0.0015151817628717,0.0015151817628717
1953,0,0,0,0,384789.5,32658.3832991102,31604.887063655,32658.3832991102,0,0,0,0,0.0121932434659163,0.0121932434659163,0.0121932434659163,0.0121932434659163
1954,0,0,0,0,384789.5,32658.3832991102,31604.887063655,32658.3832991102,0,0,0,0,0.0121932434659163,0.0121932434659163,0.0121932434659163,0.0121932434659163
1955,0,0,0,0,384789.5,32658.3832991102,31604.887063655,32658.3832991102,0,0,0,0,0.0121932434659163,0.0121932434659163,0.0121932434659163,0.0121932434659163
1956,0,0,0,0,385428.25,32712.5961670089,31657.3511293635,32712.5961670089,0,0,0,0,0.0122134842320075,0.0122134842320075,0.0122134842320075,0.0122134842320075
1957,0,0,0,0,386705.75,32821.0219028063,31762.2792607803,32821.0219028063,0,0,0,0,0.0122539657641899,0.0122539657641899,0.0122539657641899,0.0122539657641899
1958,0,0,0,0,386705.75,32821.0219028063,31762.2792607803,32821.0219028063,0,0,0,0,0.0122539657641899,0.0122539657641899,0.0122539657641899,0.0122539657641899
1959,1659322.85,140832.329500342,136289.351129363,140832.329500342,386705.75,32821.0219028063,31762.2792607803,32821.0219028063,0,0,0,0,0.0648347339468147,0.0648347339468147,0.0648347339468147,0.0648347339468147
1960,1659322.85,140832.329500342,136289.351129363,140832.329500342,386705.75,32821.0219028063,31762.2792607803,32821.0219028063,0,0,0,0,0.0648347339468147,0.0648347339468147,0.0648347339468147,0.0648347339468147
1961,1659322.85,140832.329500342,136289.351129363,140832.329500342,386705.75,32821.0219028063,31762.2792607803,32821.0219028063,0,0,0,0,0.0648347339468147,0.0648347339468147,0.0648347339468147,0.0648347339468147
1962,1659322.85,140832.329500342,136289.351129363,140832.329500342,386705.75,32821.0219028063,31762.2792607803,32821.0219028063,0,0,0,0,0.0648347339468147,0.0648347339468147,0.0648347339468147,0.0648347339468147
1963,1659322.85,140832.329500342,136289.351129363,140832.329500342,386705.75,32821.0219028063,31762.2792607803,32821.0219028063,0,0,0,0,0.0648347339468147,0.0648347339468147,0.0648347339468147,0.0648347339468147
1964,1659322.85,140832.329500342,136289.351129363,140832.329500342,386705.75,32821.0219028063,31762.2792607803,32821.0219028063,0,0,0,0,0.0648347339468147,0.0648347339468147,0.0648347339468147,0.0648347339468147
1965,1659322.85,140832.329500342,136289.351129363,140832.329500342,386705.75,32821.0219028063,31762.2792607803,32821.0219028063,0,0,0,0,0.0648347339468147,0.0648347339468147,0.0648347339468147,0.0648347339468147
1966,1659322.85,140832.329500342,136289.351129363,140832.329500342,386705.75,32821.0219028063,31762.2792607803,32821.0219028063,0,0,0,0,0.0648347339468147,0.0648347339468147,0.0648347339468147,0.0648347339468147
1967,1659322.85,140832.329500342,136289.351129363,140832.329500342,386705.75,32821.0219028063,31762.2792607803,32821.0219028063,0,0,0,0,0.0648347339468147,0.0648347339468147,0.0648347339468147,0.0648347339468147
1968,1659322.85,140832.329500342,136289.351129363,140832.329500342,386705.75,32821.0219028063,31762.2792607803,32821.0219028063,0,0,0,0,0.0648347339468147,0.0648347339468147,0.0648347339468147,0.0648347339468147
1969,6637291.4,563329.318001369,545157.404517454,563329.318001369,386705.75,32821.0219028063,31762.2792607803,32821.0219028063,0,0,0,0,0.222577038494689,0.222577038494689,0.222577038494689,0.222577038494689
1970,6637291.4,563329.318001369,545157.404517454,563329.318001369,386705.75,32821.0219028063,31762.2792607803,32821.0219028063,730,61.9575633127995,59.958932238193,61.9575633127995,0.222600170798793,0.222600170798793,0.222600170798793,0.222600170798793
1971,6678774.47125,566850.126238877,548564.638295688,566850.126238877,386705.75,32821.0219028063,31762.2792607803,32821.0219028063,730,61.9575633127995,59.958932238193,61.9575633127995,0.223914690003359,0.223914690003359,0.223914690003359,0.223914690003359
1972,6678774.47125,566850.126238877,548564.638295688,566850.126238877,386705.75,32821.0219028063,31762.2792607803,32821.0219028063,730,61.9575633127995,59.958932238193,61.9575633127995,0.223914690003359,0.223914690003359,0.223914690003359,0.223914690003359
1973,6678774.47125,566850.126238877,548564.638295688,566850.126238877,388622,32983.6605065024,31919.6714579055,32983.6605065024,730,61.9575633127995,59.958932238193,61.9575633127995,0.223975412301633,0.223975412301633,0.223975412301633,0.223975412301633
