"year","Annual_SW","August_SW","September_SW","October_SW","Annual_GW_UL","August_GW_UL","September_GW_UL","October_GW_UL","Annual_GW_LC","August_GW_LC","September_GW_LC","October_GW_LC","Total.cms","August.cms","September.cms","October.cms"
1939,1659.3265,140.832639288159,136.289650924025,140.832639288159,0,0,0,0,0,0,0,0,5.25808838441453e-05,5.25808838441453e-05,5.25808838441453e-05,5.25808838441453e-05
1940,1659.3265,140.832639288159,136.289650924025,140.832639288159,0,0,0,0,0,0,0,0,5.25808838441453e-05,5.25808838441453e-05,5.25808838441453e-05,5.25808838441453e-05
1941,1659.3265,140.832639288159,136.289650924025,140.832639288159,0,0,0,0,0,0,0,0,5.25808838441453e-05,5.25808838441453e-05,5.25808838441453e-05,5.25808838441453e-05
1942,1659.3265,140.832639288159,136.289650924025,140.832639288159,0,0,0,0,0,0,0,0,5.25808838441453e-05,5.25808838441453e-05,5.25808838441453e-05,5.25808838441453e-05
1943,3318.64935,281.664968788501,272.579002053388,281.664968788501,0,0,0,0,0,0,0,0,0.00010516165202677,0.00010516165202677,0.00010516165202677,0.00010516165202677
1944,3318.64935,281.664968788501,272.579002053388,281.664968788501,0,0,0,0,0,0,0,0,0.00010516165202677,0.00010516165202677,0.00010516165202677,0.00010516165202677
1945,3318.64935,281.664968788501,272.579002053388,281.664968788501,0,0,0,0,0,0,0,0,0.00010516165202677,0.00010516165202677,0.00010516165202677,0.00010516165202677
1946,3318.64935,281.664968788501,272.579002053388,281.664968788501,0,0,0,0,0,0,0,0,0.00010516165202677,0.00010516165202677,0.00010516165202677,0.00010516165202677
1947,3318.64935,281.664968788501,272.579002053388,281.664968788501,0,0,0,0,0,0,0,0,0.00010516165202677,0.00010516165202677,0.00010516165202677,0.00010516165202677
1948,3318.64935,281.664968788501,272.579002053388,281.664968788501,0,0,0,0,0,0,0,0,0.00010516165202677,0.00010516165202677,0.00010516165202677,0.00010516165202677
1949,3318.64935,281.664968788501,272.579002053388,281.664968788501,0,0,0,0,0,0,0,0,0.00010516165202677,0.00010516165202677,0.00010516165202677,0.00010516165202677
1950,3318.64935,281.664968788501,272.579002053388,281.664968788501,0,0,0,0,0,0,0,0,0.00010516165202677,0.00010516165202677,0.00010516165202677,0.00010516165202677
1951,4148.3126,352.08128843258,340.7238275154,352.08128843258,0,0,0,0,0,0,0,0,0.000131452093948843,0.000131452093948843,0.000131452093948843,0.000131452093948843
1952,4148.3126,352.08128843258,340.7238275154,352.08128843258,0,0,0,0,0,0,0,0,0.000131452093948843,0.000131452093948843,0.000131452093948843,0.000131452093948843
1953,4148.3126,352.08128843258,340.7238275154,352.08128843258,0,0,0,0,0,0,0,0,0.000131452093948843,0.000131452093948843,0.000131452093948843,0.000131452093948843
1954,4148.3126,352.08128843258,340.7238275154,352.08128843258,0,0,0,0,0,0,0,0,0.000131452093948843,0.000131452093948843,0.000131452093948843,0.000131452093948843
1955,4148.3126,352.08128843258,340.7238275154,352.08128843258,0,0,0,0,0,0,0,0,0.000131452093948843,0.000131452093948843,0.000131452093948843,0.000131452093948843
1956,4148.3126,352.08128843258,340.7238275154,352.08128843258,0,0,0,0,0,0,0,0,0.000131452093948843,0.000131452093948843,0.000131452093948843,0.000131452093948843
1957,5807.63545,492.913617932923,477.013178644764,492.913617932923,0,0,0,0,0,0,0,0,0.000184032862131468,0.000184032862131468,0.000184032862131468,0.000184032862131468
1958,5807.63545,492.913617932923,477.013178644764,492.913617932923,0,0,0,0,0,0,0,0,0.000184032862131468,0.000184032862131468,0.000184032862131468,0.000184032862131468
1959,5807.63545,492.913617932923,477.013178644764,492.913617932923,0,0,0,0,0,0,0,0,0.000184032862131468,0.000184032862131468,0.000184032862131468,0.000184032862131468
1960,5807.63545,492.913617932923,477.013178644764,492.913617932923,0,0,0,0,0,0,0,0,0.000184032862131468,0.000184032862131468,0.000184032862131468,0.000184032862131468
1961,5807.63545,492.913617932923,477.013178644764,492.913617932923,0,0,0,0,0,0,0,0,0.000184032862131468,0.000184032862131468,0.000184032862131468,0.000184032862131468
1962,5807.63545,492.913617932923,477.013178644764,492.913617932923,0,0,0,0,0,0,0,0,0.000184032862131468,0.000184032862131468,0.000184032862131468,0.000184032862131468
1963,5807.63545,492.913617932923,477.013178644764,492.913617932923,0,0,0,0,0,0,0,0,0.000184032862131468,0.000184032862131468,0.000184032862131468,0.000184032862131468
1964,5807.63545,492.913617932923,477.013178644764,492.913617932923,0,0,0,0,0,0,0,0,0.000184032862131468,0.000184032862131468,0.000184032862131468,0.000184032862131468
1965,5807.63545,492.913617932923,477.013178644764,492.913617932923,0,0,0,0,0,0,0,0,0.000184032862131468,0.000184032862131468,0.000184032862131468,0.000184032862131468
1966,5807.63545,492.913617932923,477.013178644764,492.913617932923,0,0,0,0,0,0,0,0,0.000184032862131468,0.000184032862131468,0.000184032862131468,0.000184032862131468
1967,5807.63545,492.913617932923,477.013178644764,492.913617932923,638.75,54.2128678986995,52.4640657084189,54.2128678986995,0,0,0,0,0.000204273628222679,0.000204273628222679,0.000204273628222679,0.000204273628222679
1968,6637.2987,563.329937577002,545.158004106776,563.329937577002,638.75,54.2128678986995,52.4640657084189,54.2128678986995,0,0,0,0,0.000230564070144751,0.000230564070144751,0.000230564070144751,0.000230564070144751
1969,6637.2987,563.329937577002,545.158004106776,563.329937577002,638.75,54.2128678986995,52.4640657084189,54.2128678986995,0,0,0,0,0.000230564070144751,0.000230564070144751,0.000230564070144751,0.000230564070144751
1970,11143.90665,1847.79188955762,984.979875112139,621.796598295489,638.75,54.2128678986995,52.4640657084189,54.2128678986995,0,0,0,0,0.000373369858607752,0.00071012722425938,0.000400248433958549,0.000252393020532478
1971,11143.90665,1847.79188955762,984.979875112139,621.796598295489,641.806220095694,54.4722596111335,52.7150899462582,54.4722596111335,0,0,0,0,0.000373466704378524,0.000710224070030152,0.00040034527972932,0.000252489866303249
1972,11143.90665,1847.79188955762,984.979875112139,621.796598295489,641.806220095694,54.4722596111335,52.7150899462582,54.4722596111335,0,0,0,0,0.000373466704378524,0.000710224070030152,0.00040034527972932,0.000252489866303249
1973,11143.90665,1847.79188955762,984.979875112139,621.796598295489,641.806220095694,54.4722596111335,52.7150899462582,54.4722596111335,0,0,0,0,0.000373466704378524,0.000710224070030152,0.00040034527972932,0.000252489866303249
1974,15292.2156,2199.87286820239,1325.70340283288,973.877576940252,641.806220095694,54.4722596111335,52.7150899462582,54.4722596111335,0,0,0,0,0.000504918682665846,0.000841676048317474,0.000531797258016642,0.000383941844590571
1975,15292.2156,2199.87286820239,1325.70340283288,973.877576940252,641.806220095694,54.4722596111335,52.7150899462582,54.4722596111335,0,0,0,0,0.000504918682665846,0.000841676048317474,0.000531797258016642,0.000383941844590571
1976,15292.2156,2199.87286820239,1325.70340283288,973.877576940252,641.806220095694,54.4722596111335,52.7150899462582,54.4722596111335,0,0,0,0,0.000504918682665846,0.000841676048317474,0.000531797258016642,0.000383941844590571
1977,21481.6417,3557.77889598759,1898.38524932717,1200.0956435604,641.806220095694,54.4722596111335,52.7150899462582,54.4722596111335,0,0,0,0,0.000701049760441088,0.00134866007900191,0.000752739328423389,0.000468401994911714
1978,21481.6417,3557.77889598759,1898.38524932717,1200.0956435604,641.806220095694,54.4722596111335,52.7150899462582,54.4722596111335,0,0,0,0,0.000701049760441088,0.00134866007900191,0.000752739328423389,0.000468401994911714
1979,640832.14645,56124.1461711416,52769.0632575407,53766.4629187144,643.334330143541,54.6019554673505,52.8406020651779,54.6019554673505,0,0,0,0,0.0203271313655076,0.0209747416840684,0.0203788209334899,0.0200944835999783
