"year","Annual_SW","August_SW","September_SW","October_SW","Annual_GW_UL","August_GW_UL","September_GW_UL","October_GW_UL","Annual_GW_LC","August_GW_LC","September_GW_LC","October_GW_LC","Total.cms","August.cms","September.cms","October.cms"
1945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1964,4148.30895,352.080978644764,340.723527720739,352.080978644764,0,0,0,0,0,0,0,0,0.000131451978287322,0.000131451978287322,0.000131451978287322,0.000131451978287322
1965,4148.30895,352.080978644764,340.723527720739,352.080978644764,0,0,0,0,0,0,0,0,0.000131451978287322,0.000131451978287322,0.000131451978287322,0.000131451978287322
1966,4148.30895,352.080978644764,340.723527720739,352.080978644764,0,0,0,0,0,0,0,0,0.000131451978287322,0.000131451978287322,0.000131451978287322,0.000131451978287322
1967,6637.29505,563.329627789186,545.157704312115,563.329627789186,0,0,0,0,0,0,0,0,0.00021032318839202,0.00021032318839202,0.00021032318839202,0.00021032318839202
1968,6637.29505,563.329627789186,545.157704312115,563.329627789186,0,0,0,0,0,0,0,0,0.00021032318839202,0.00021032318839202,0.00021032318839202,0.00021032318839202
1969,6637.29505,563.329627789186,545.157704312115,563.329627789186,0,0,0,0,0,0,0,0,0.00021032318839202,0.00021032318839202,0.00021032318839202,0.00021032318839202
1970,6637.29505,563.329627789186,545.157704312115,563.329627789186,0,0,0,0,0,0,0,0,0.00021032318839202,0.00021032318839202,0.00021032318839202,0.00021032318839202
1971,6637.29505,563.329627789186,545.157704312115,563.329627789186,0,0,0,0,0,0,0,0,0.00021032318839202,0.00021032318839202,0.00021032318839202,0.00021032318839202
1972,6637.29505,563.329627789186,545.157704312115,563.329627789186,0,0,0,0,0,0,0,0,0.00021032318839202,0.00021032318839202,0.00021032318839202,0.00021032318839202
1973,6637.29505,563.329627789186,545.157704312115,563.329627789186,638.75,54.2128678986995,52.4640657084189,54.2128678986995,0,0,0,0,0.000230563954483231,0.000230563954483231,0.000230563954483231,0.000230563954483231
1974,6637.29505,563.329627789186,545.157704312115,563.329627789186,638.75,54.2128678986995,52.4640657084189,54.2128678986995,0,0,0,0,0.000230563954483231,0.000230563954483231,0.000230563954483231,0.000230563954483231
1975,6637.29505,563.329627789186,545.157704312115,563.329627789186,638.75,54.2128678986995,52.4640657084189,54.2128678986995,0,0,0,0,0.000230563954483231,0.000230563954483231,0.000230563954483231,0.000230563954483231
1976,6637.29505,563.329627789186,545.157704312115,563.329627789186,1277.5,108.425735797399,104.928131416838,108.425735797399,0,0,0,0,0.000250804720574442,0.000250804720574442,0.000250804720574442,0.000250804720574442
