"year","Annual_SW","August_SW","September_SW","October_SW","Annual_GW_UL","August_GW_UL","September_GW_UL","October_GW_UL","Annual_GW_LC","August_GW_LC","September_GW_LC","October_GW_LC","Total.cms","August.cms","September.cms","October.cms"
1963,41217.0301,13841.4658628762,7134.45482268482,140.832639288159,0,0,0,0,0,0,0,0,0.00130608886924227,0.00516781132873215,0.00275249028652964,5.25808838441453e-05
1964,41217.0301,13841.4658628762,7134.45482268482,140.832639288159,0,0,0,0,0,0,0,0,0.00130608886924227,0.00516781132873215,0.00275249028652964,5.25808838441453e-05
1965,41217.0301,13841.4658628762,7134.45482268482,140.832639288159,0,0,0,0,0,0,0,0,0.00130608886924227,0.00516781132873215,0.00275249028652964,5.25808838441453e-05
1966,42046.69335,13911.8821825203,7202.59964814683,211.248958932238,0,0,0,0,0,0,0,0,0.00133237931116435,0.00519410177065423,0.00277878072845171,7.8871325766218e-05
1967,42046.69335,13911.8821825203,7202.59964814683,211.248958932238,0,0,0,0,0,0,0,0,0.00133237931116435,0.00519410177065423,0.00277878072845171,7.8871325766218e-05
1968,42876.3566,13982.2985021644,7270.74447360885,281.665278576318,0,0,0,0,0,0,0,0,0.00135866975308642,0.0052203922125763,0.00280507117037378,0.000105161767688291
1969,42876.3566,13982.2985021644,7270.74447360885,281.665278576318,0,0,0,0,0,0,0,0,0.00135866975308642,0.0052203922125763,0.00280507117037378,0.000105161767688291
1970,43706.01985,14052.7148218084,7338.88929907086,352.081598220397,638.75,54.2128678986995,52.4640657084189,54.2128678986995,0,0,0,0,0.0014052009610997,0.00526692342058958,0.00285160237838707,0.000151692975701574
1971,43706.01985,14052.7148218084,7338.88929907086,352.081598220397,638.75,54.2128678986995,52.4640657084189,54.2128678986995,0,0,0,0,0.0014052009610997,0.00526692342058958,0.00285160237838707,0.000151692975701574
1972,43706.01985,14052.7148218084,7338.88929907086,352.081598220397,638.75,54.2128678986995,52.4640657084189,54.2128678986995,0,0,0,0,0.0014052009610997,0.00526692342058958,0.00285160237838707,0.000151692975701574
1973,43706.01985,14052.7148218084,7338.88929907086,352.081598220397,638.75,54.2128678986995,52.4640657084189,54.2128678986995,0,0,0,0,0.0014052009610997,0.00526692342058958,0.00285160237838707,0.000151692975701574
1974,43706.01985,14052.7148218084,7338.88929907086,352.081598220397,638.75,54.2128678986995,52.4640657084189,54.2128678986995,0,0,0,0,0.0014052009610997,0.00526692342058958,0.00285160237838707,0.000151692975701574
1975,43706.01985,14052.7148218084,7338.88929907086,352.081598220397,638.75,54.2128678986995,52.4640657084189,54.2128678986995,0,0,0,0,0.0014052009610997,0.00526692342058958,0.00285160237838707,0.000151692975701574
1976,43706.01985,14052.7148218084,7338.88929907086,352.081598220397,638.75,54.2128678986995,52.4640657084189,54.2128678986995,0,0,0,0,0.0014052009610997,0.00526692342058958,0.00285160237838707,0.000151692975701574
1977,43706.01985,14052.7148218084,7338.88929907086,352.081598220397,1277.5,108.425735797399,104.928131416838,108.425735797399,0,0,0,0,0.00142544172719091,0.00528716418668079,0.00287184314447828,0.000171933741792785
1978,43706.01985,14052.7148218084,7338.88929907086,352.081598220397,1916.25,162.638603696099,157.392197125257,162.638603696099,0,0,0,0,0.00144568249328213,0.005307404952772,0.00289208391056949,0.000192174507883996
1979,43706.01985,14052.7148218084,7338.88929907086,352.081598220397,1916.25,162.638603696099,157.392197125257,162.638603696099,0,0,0,0,0.00144568249328213,0.005307404952772,0.00289208391056949,0.000192174507883996
1980,43706.01985,14052.7148218084,7338.88929907086,352.081598220397,3193.75,271.064339493498,262.320328542094,271.064339493498,0,0,0,0,0.00148616402546455,0.00534788648495443,0.00293256544275191,0.000232656040066418
1981,43706.01985,14052.7148218084,7338.88929907086,352.081598220397,3193.75,271.064339493498,262.320328542094,271.064339493498,0,0,0,0,0.00148616402546455,0.00534788648495443,0.00293256544275191,0.000232656040066418
1982,43706.01985,14052.7148218084,7338.88929907086,352.081598220397,3193.75,271.064339493498,262.320328542094,271.064339493498,0,0,0,0,0.00148616402546455,0.00534788648495443,0.00293256544275191,0.000232656040066418
1983,43706.01985,14052.7148218084,7338.88929907086,352.081598220397,3193.75,271.064339493498,262.320328542094,271.064339493498,0,0,0,0,0.00148616402546455,0.00534788648495443,0.00293256544275191,0.000232656040066418
