"year","Annual_SW","August_SW","September_SW","October_SW","Annual_GW_UL","August_GW_UL","September_GW_UL","October_GW_UL","Annual_GW_LC","August_GW_LC","September_GW_LC","October_GW_LC","Total.cms","August.cms","September.cms","October.cms"
1918,0,0,0,0,1916.25,162.638603696099,157.392197125257,162.638603696099,0,0,0,0,6.0722298273633e-05,6.0722298273633e-05,6.0722298273633e-05,6.0722298273633e-05
1919,0,0,0,0,1916.25,162.638603696099,157.392197125257,162.638603696099,0,0,0,0,6.0722298273633e-05,6.0722298273633e-05,6.0722298273633e-05,6.0722298273633e-05
1920,0,0,0,0,1916.25,162.638603696099,157.392197125257,162.638603696099,0,0,0,0,6.0722298273633e-05,6.0722298273633e-05,6.0722298273633e-05,6.0722298273633e-05
1921,0,0,0,0,1916.25,162.638603696099,157.392197125257,162.638603696099,0,0,0,0,6.0722298273633e-05,6.0722298273633e-05,6.0722298273633e-05,6.0722298273633e-05
1922,0,0,0,0,1916.25,162.638603696099,157.392197125257,162.638603696099,0,0,0,0,6.0722298273633e-05,6.0722298273633e-05,6.0722298273633e-05,6.0722298273633e-05
1923,0,0,0,0,1916.25,162.638603696099,157.392197125257,162.638603696099,0,0,0,0,6.0722298273633e-05,6.0722298273633e-05,6.0722298273633e-05,6.0722298273633e-05
1924,0,0,0,0,1916.25,162.638603696099,157.392197125257,162.638603696099,0,0,0,0,6.0722298273633e-05,6.0722298273633e-05,6.0722298273633e-05,6.0722298273633e-05
1925,53656.38,18501.4643626062,5880.04164305949,0,1916.25,162.638603696099,157.392197125257,162.638603696099,0,0,0,0,0.00176099037949654,0.00696837775026222,0.00232925688278733,6.0722298273633e-05
1926,70117.4665,23746.1492398547,7638.4117472413,140.832639288159,1916.25,162.638603696099,157.392197125257,162.638603696099,0,0,0,0,0.00228261073402287,0.00892651875879287,0.00300764041063525,0.000113303182117778
1927,72606.438,23957.3966498479,7842.84472465404,352.080049281314,1916.25,162.638603696099,157.392197125257,162.638603696099,0,0,0,0,0.00236148148148148,0.00900538950625149,0.00308651115809386,0.000192173929576394
1928,142933.59245,47775.8501532859,15504.2356451885,492.912378781656,1916.25,162.638603696099,157.392197125257,162.638603696099,0,0,0,0,0.00459001452740386,0.0178981812862089,0.00604229469225068,0.000244754697759018
1929,142933.59245,47775.8501532859,15504.2356451885,492.912378781656,1916.25,162.638603696099,157.392197125257,162.638603696099,0,0,0,0,0.00459001452740386,0.0178981812862089,0.00604229469225068,0.000244754697759018
1930,235444.59245,80071.7527527947,24146.1973707805,492.912378781656,1916.25,162.638603696099,157.392197125257,162.638603696099,0,0,0,0,0.00752151121916749,0.0299560899628475,0.00937638486416115,0.000244754697759018
1931,235444.59245,80071.7527527947,24146.1973707805,492.912378781656,1916.25,162.638603696099,157.392197125257,162.638603696099,0,0,0,0,0.00752151121916749,0.0299560899628475,0.00937638486416115,0.000244754697759018
1932,253021.68245,86132.5772853726,26072.4179090241,492.912378781656,1916.25,162.638603696099,157.392197125257,162.638603696099,0,0,0,0,0.00807849559060258,0.0322189426109128,0.0101195255039156,0.000244754697759018
1933,269614.91095,87540.9005803761,27435.3114203177,1901.23567378508,1916.25,162.638603696099,157.392197125257,162.638603696099,0,0,0,0,0.00860430327242883,0.032744750292739,0.0106453331857419,0.000770562379585266
1934,269614.91095,87540.9005803761,27435.3114203177,1901.23567378508,1916.25,162.638603696099,157.392197125257,162.638603696099,0,0,0,0,0.00860430327242883,0.032744750292739,0.0106453331857419,0.000770562379585266
1935,273431.00055,87864.784981745,27748.7479377715,2225.120075154,1916.25,162.638603696099,157.392197125257,162.638603696099,0,0,0,0,0.00872522785477983,0.03286567487509,0.0107662577680929,0.000891486961936269
1936,273431.00055,87864.784981745,27748.7479377715,2225.120075154,1916.25,162.638603696099,157.392197125257,162.638603696099,0,0,0,0,0.00872522785477983,0.03286567487509,0.0107662577680929,0.000891486961936269
1937,273431.00055,87864.784981745,27748.7479377715,2225.120075154,1916.25,162.638603696099,157.392197125257,162.638603696099,0,0,0,0,0.00872522785477983,0.03286567487509,0.0107662577680929,0.000891486961936269
1938,275090.3234,88005.6173112453,27885.0372889009,2365.95240465435,1916.25,162.638603696099,157.392197125257,162.638603696099,0,0,0,0,0.00877780862296246,0.0329182556432726,0.0108188385362755,0.000944067730118894
1939,336764.3234,109271.668302747,34643.7058441417,2365.95240465435,1916.25,162.638603696099,157.392197125257,162.638603696099,0,0,0,0,0.0107321397508049,0.0408580894961331,0.0134263495529579,0.000944067730118894
1940,340082.9691,109553.332961747,34916.2845464004,2647.61706365503,1916.25,162.638603696099,157.392197125257,162.638603696099,0,0,0,0,0.0108373012871701,0.0409632510324983,0.0135315110893232,0.00104922926648414
1941,348379.58335,110257.494609249,35597.7313020472,3351.77871115674,1916.25,162.638603696099,157.392197125257,162.638603696099,49340,16514.3484224966,4466.99588477366,0,0.0126636953808274,0.0473919062258967,0.0155177929722014,0.00131213310739727
1942,348379.58335,110257.494609249,35597.7313020472,3351.77871115674,1916.25,162.638603696099,157.392197125257,162.638603696099,49340,16514.3484224966,4466.99588477366,0,0.0126636953808274,0.0473919062258967,0.0155177929722014,0.00131213310739727
1943,348379.58335,110257.494609249,35597.7313020472,3351.77871115674,1916.25,162.638603696099,157.392197125257,162.638603696099,49340,16514.3484224966,4466.99588477366,0,0.0126636953808274,0.0473919062258967,0.0155177929722014,0.00131213310739727
1944,348379.58335,110257.494609249,35597.7313020472,3351.77871115674,1916.25,162.638603696099,157.392197125257,162.638603696099,49340,16514.3484224966,4466.99588477366,0,0.0126636953808274,0.0473919062258967,0.0155177929722014,0.00131213310739727
1945,349209.2466,110327.910928893,35665.8761275092,3422.19503080082,4045.41666666667,343.34816335843,332.27241615332,343.34816335843,49340,16514.3484224966,4466.99588477366,0,0.0127574550430535,0.0474856658881228,0.0156115526344275,0.00140589276962338
1946,414201.8923,131875.626579395,42697.1233850088,3703.85968980151,4045.41666666667,343.34816335843,332.27241615332,343.34816335843,49340,16514.3484224966,4466.99588477366,0,0.0148169477072612,0.0555306612773485,0.0183242251874752,0.00151105430598863
1947,544686.868,172975.642681736,55914.4555029436,4968.49596057495,4045.41666666667,343.34816335843,332.27241615332,343.34816335843,49340,16514.3484224966,4466.99588477366,0,0.0189517670756543,0.0708756493681269,0.0234235045539624,0.00198321539872065
1948,586669.24385,185480.955575335,60743.4325004701,5390.99356865161,4045.41666666667,343.34816335843,332.27241615332,343.34816335843,49340,16514.3484224966,4466.99588477366,0,0.0202821082882306,0.0755445983278038,0.0252865358030081,0.00214095793459156
1949,613827.82995,193747.414414827,63894.6055734276,5602.24221779603,4045.41666666667,343.34816335843,332.27241615332,343.34816335843,49340,16514.3484224966,4466.99588477366,0,0.0211427119494723,0.0786309404871125,0.0265022661552294,0.00221982914469626
1950,613827.82995,193747.414414827,63894.6055734276,5602.24221779603,34037.865419709,10257.7335784092,3028.26966992433,822.487888176043,49340,16514.3484224966,4466.99588477366,0,0.0220931152993165,0.0823325479449421,0.0275423885525176,0.00239871942427273
1951,738070.0897,233207.169260038,72377.726851202,7080.98183244353,34037.865419709,10257.7335784092,3028.26966992433,822.487888176043,49340,16514.3484224966,4466.99588477366,0,0.0260301149364879,0.0970651326392411,0.0308151976874614,0.00295081754802105
1952,986425.41255,318412.205555544,99548.6904232945,7221.81416194387,34037.865419709,10257.7335784092,3028.26966992433,822.487888176043,49340,16514.3484224966,4466.99588477366,0,0.0339000202160402,0.128877048818866,0.0412978225223736,0.00300339831620367
1953,986425.41255,318412.205555544,99548.6904232945,7221.81416194387,34037.865419709,10257.7335784092,3028.26966992433,822.487888176043,49340,16514.3484224966,4466.99588477366,0,0.0339000202160402,0.128877048818866,0.0412978225223736,0.00300339831620367
1954,988084.73905,318553.038194832,99684.9800742185,7362.64680123203,34037.865419709,10257.7335784092,3028.26966992433,822.487888176043,49340,16514.3484224966,4466.99588477366,0,0.0339526010998843,0.12892962970271,0.0413504034062178,0.00305597920004782
1955,989744.0619,318693.870524332,99821.2694253479,7503.47913073238,34037.865419709,10257.7335784092,3028.26966992433,822.487888176043,49340,16514.3484224966,4466.99588477366,0,0.0340051818680669,0.128982210470892,0.0414029841744004,0.00310855996823044
1956,989744.0619,318693.870524332,99821.2694253479,7503.47913073238,34037.865419709,10257.7335784092,3028.26966992433,822.487888176043,49340,16514.3484224966,4466.99588477366,0,0.0340051818680669,0.128982210470892,0.0414029841744004,0.00310855996823044
1957,989744.0619,318693.870524332,99821.2694253479,7503.47913073238,34676.615419709,10311.9464463079,3080.73373563275,876.700756074743,49340,16514.3484224966,4466.99588477366,0,0.0340254226341581,0.129002451236984,0.0414232249404916,0.00312880073432165
1958,1086403.3745,354463.618205042,100161.993252863,7855.56041916496,35954.115419709,10420.3721821053,3185.66186704958,985.126491872142,49340,16514.3484224966,4466.99588477366,0,0.037128852952053,0.142397826616504,0.0415951585666229,0.00330073436045292
1959,1088892.36425,354674.867163974,100366.427729249,8066.80937809719,35954.115419709,10420.3721821053,3185.66186704958,985.126491872142,49340,16514.3484224966,4466.99588477366,0,0.0372077242778193,0.14247669794227,0.0416740298923891,0.00337960568621914
1960,1090551.69075,354815.699803262,100502.717380173,8207.64201738535,36592.865419709,10474.585050004,3238.125932758,1039.33935977084,52990,16824.1362390606,4766.79054596463,309.787816563997,0.0373962074482758,0.142665181112727,0.0418625130628457,0.0035680888566757
1961,1290507.611,426918.524792471,101729.322739516,9475.1342220397,203802.365419709,24666.219546924,16971.965768487,15230.9738566908,52990,16824.1362390606,4766.79054596463,309.787816563997,0.0490309775274327,0.174883841315134,0.0476342897584753,0.00933986555230528
1962,1373473.7535,433960.141267488,108543.790295984,16516.7506970568,204441.115419709,24720.4324148227,17024.4298341954,15285.1867245895,52990,16824.1362390606,4766.79054596463,309.787816563997,0.0516802567026551,0.177533120490357,0.0502835689336977,0.0119891447275277
1963,2306297.58607,599350.227112524,180845.384486692,68992.8065756879,205079.865419709,24774.6452827214,17076.8938999038,15339.3995924882,52990,16824.1362390606,4766.79054596463,309.787816563997,0.0812599009902435,0.239302945278639,0.0781979432610187,0.0316017002631198
1964,2435203.50717,638522.965538416,191569.020190122,71034.8702419439,206357.365419709,24883.0710185188,17181.8220313206,15447.8253282856,52990,16824.1362390606,4766.79054596463,309.787816563997,0.085385164669991,0.253968851850357,0.0823756299256972,0.0324046010255352
1965,2463743.86457,640945.281977567,193913.197389301,73457.1866810951,296238.622085109,54328.463815707,25297.7591445197,15664.6767998804,82265,19308.8042746526,7171.3079997634,2794.45585215606,0.0900653879463302,0.266794560210546,0.087338836625611,0.0343176222121907
1966,2475359.13547,641931.109213433,194867.22374659,74443.013916961,400383.436593032,91096.9281295414,32188.8456548441,15746.693471594,82265,19308.8042746526,7171.3079997634,2794.45585215606,0.0937336036980959,0.280890397856044,0.0903655005405855,0.0347163094536705
1967,2553347.32402,648550.229939101,201272.824448849,81062.1346426283,409966.21470308,91910.2508438781,32975.9321525893,16560.0161859307,82265,19308.8042746526,7171.3079997634,2794.45585215606,0.0965085601795789,0.283665354337527,0.0931404570220685,0.0374912659351535
