"ID","Month","BG.Test","BG.Test.crit","regime"
"08LD001",9,8.63815737928583,4.33512018768452,"Snowfall"
"08LD001",10,2.05848288730474,4.62279037191156,"Snowfall"
"08NJ130",9,0.356002877841539,4.68447783550893,"Hybrid"
"08NJ130",10,0.41239278598222,4.66661823163679,"Hybrid"
"08DB013",8,0.895290441896183,7.76908022664954,"Hybrid"
"08DB013",9,1.54941708910229,6.59666421255128,"Hybrid"
"08DB013",10,3.99775667576343,6.06274202442153,"Hybrid"
"08NH084",9,0.748321630462844,4.70305869290782,"Hybrid"
"08NH084",10,0.185382412395191,4.29172591279514,"Hybrid"
"08LF099",9,0.463215400431233,8.40495444844417,"Hybrid"
"08LF099",10,0.069205093405098,7.15967271291732,"Hybrid"
"08NL004",9,0.00032394827244066,4.3890093109892,"Snowfall"
"08NL004",10,2.12844090540383,4.60236585304745,"Snowfall"
"09AA006",9,0.0979176875522117,4.36826397698012,"Glacial"
"09AA006",10,0.372347284339981,4.29819256189982,"Glacial"
"08FB006",9,0.829666870649378,4.70189695593012,"Hybrid"
"08FB006",10,0.155192882434135,5.15294764821027,"Hybrid"
"08EC013",9,4.43531022999452,4.65085267535324,"Snowfall"
"08EC013",10,5.70948557104883,4.61111029361179,"Snowfall"
"08KE016",9,9.97203218937025,4.24900588016678,"Hybrid"
"08KE016",10,6.43840804340486,4.46553397202487,"Hybrid"
"08NE077",9,1.86858295636801,4.44019231977221,"Hybrid"
"08NE077",10,2.45498740665594,4.55002949938351,"Hybrid"
"08LB020",8,1.60161617309835,4.57333630861022,"Hybrid"
"08LB020",9,2.7447230449698,4.61064619769132,"Hybrid"
"08LB020",10,0.00118464871923143,4.56358301082673,"Hybrid"
"08LB069",8,0.0235852346638756,4.92813080539734,"Hybrid"
"08LB069",9,6.53095454051436,4.82901670086357,"Hybrid"
"08LB069",10,2.37410690696842,4.36940361306282,"Hybrid"
"08NE008",9,0.844261548006774,4.53570725544807,"Hybrid"
"08NE008",10,7.02579296090873,4.5380809446424,"Hybrid"
"08NB019",9,5.17663340902543,5.18913106185449,"Glacial"
"08NB019",10,0.0540871902674193,5.53740775602316,"Glacial"
"08FB007",9,1.02203622220248,4.39008704005945,"Glacial"
"08FB007",10,0.0348225903527361,4.86190127296053,"Glacial"
"08MB006",9,0.204111682275113,4.76012108834211,"Snowfall"
"08MB006",10,0.119948036961433,5.10672668876852,"Snowfall"
"08MB007",9,1.18984820773082,4.67939899936758,"Snowfall"
"08MB007",10,0.0406157033664838,4.67447336822741,"Snowfall"
"08NE039",9,14.346831552701,4.30329571220534,"Hybrid"
"08NE039",10,2.59849099435495,4.4023085268472,"Hybrid"
"08HA016",7,0.398829010068014,4.60140619175746,"Rainfall"
"08HA016",8,1.37780437340702,4.72563820310946,"Rainfall"
"08HA016",9,4.40120909374966,4.64363519220398,"Rainfall"
"08NB012",9,0.771211931566329,5.08336845523114,"Glacial"
"08NB012",10,4.44553996037425e-06,5.28341220427293,"Glacial"
"08LB038",9,0.0630810175426212,5.34857155612026,"Hybrid"
"08LB038",10,0.167061102886322,4.99939836926028,"Hybrid"
"08NH032",8,2.24069551859909,4.32183138204308,"Hybrid"
"08NH032",9,0.0163344567754779,4.53969411269012,"Hybrid"
"08NH032",10,0.000679560557875234,4.35587174694904,"Hybrid"
"08KD007",8,4.87741109228725,4.72098890519253,"Hybrid"
"08KD007",9,3.38133343251587,4.91256700682496,"Hybrid"
"08KD007",10,0.393772267422324,4.8193861730069,"Hybrid"
"08LA027",9,2.79605326759681,10.8978098427558,"Hybrid"
"08LA027",10,1.19994994108343,7.24215997563743,"Hybrid"
"08ME023",9,0.272610590781733,5.26437047269092,"Glacial"
"08ME023",10,0.0618572000296983,4.90941483124839,"Glacial"
"08ME028",9,2.92634584579447,5.87959061639361,"Glacial"
"08ME028",10,1.94743558205903,5.75361523036646,"Glacial"
"08HB025",8,0.0127150894730865,4.39693063147447,"Hybrid"
"08HB025",9,0.179442392258406,4.4484190480767,"Hybrid"
"08HB025",10,3.61571526553874,4.73338675329152,"Hybrid"
"08EE013",8,0.559591127596911,4.76025473453702,"Hybrid"
"08EE013",9,2.62667921622212,4.62636000430239,"Hybrid"
"08EE013",10,0.881273792502752,5.04747928081571,"Hybrid"
"08EE004",9,0.241274490926174,4.5266500264093,"Hybrid"
"08EE004",10,0.224122244625797,4.63720858839615,"Hybrid"
"08EE003",8,0.170753618068429,5.38544338151871,"Hybrid"
"08EE003",9,1.82982946548964,5.5457985072769,"Hybrid"
"08EE003",10,0.48867345748919,7.88490793483932,"Hybrid"
"08EE005",9,1.21036996441869,6.12524453303577,"Hybrid"
"08EE005",10,9.58162460017362,9.93909925450286,"Hybrid"
"08NN023",9,3.79169416583863,5.11962020181863,"Hybrid"
"08NN023",10,2.42549853590301,4.59682477469539,"Hybrid"
"08NP004",8,0.0283244091263007,4.86505153349159,"Hybrid"
"08NP004",9,4.16559722808578,5.24078022438299,"Hybrid"
"08NP004",10,1.18360534276203,4.93086564959503,"Hybrid"
"08NM134",9,0.126472442757932,4.39991970822036,"Hybrid"
"08NM134",10,0.0420624627594123,4.60492961986496,"Hybrid"
"08NC004",9,0.483584399557101,4.5793105807115,"Glacial"
"08NC004",10,2.16567827460864,5.04983691486956,"Glacial"
"08HB048",7,0.335077476078556,4.44068794196562,"Rainfall"
"08HB048",8,0.0431483809535932,4.32335804150583,"Rainfall"
"08HB048",9,0.776300248408192,4.95372109666924,"Rainfall"
"08NH131",9,0.248890402675268,4.81507090028932,"Snowfall"
