WLS_WRL_SYSID,POD_NUMBER,POD_SUBTYPE,POD_DIVERSION_TYPE,POD_STATUS,FILE_NUMBER,WELL_TAG_NUMBER,LICENCE_NUMBER,LICENCE_STATUS,LICENCE_STATUS_DATE,PRIORITY_DATE,EXPIRY_DATE,PURPOSE_USE_CODE,PURPOSE_USE,SOURCE_NAME,REDIVERSION_IND,QUANTITY,QUANTITY_UNITS,QUANTITY_FLAG,QUANTITY_FLAG_DESCRIPTION,QTY_DIVERSION_MAX_RATE,QTY_UNITS_DIVERSION_MAX_RATE,HYDRAULIC_CONNECTIVITY,PERMIT_OVER_CROWN_LAND_NUMBER,PRIMARY_LICENSEE_NAME,ADDRESS_LINE_1,ADDRESS_LINE_2,ADDRESS_LINE_3,ADDRESS_LINE_4,COUNTRY,POSTAL_CODE,LATITUDE,LONGITUDE,DISTRICT_PRECINCT_NAME,OBJECTID,SE_ANNO_CAD_DATA
26294,,POD,,Inactive,0004525,,C006654,Cancelled,,,,03B,03B - Irrigation: Private ,,,,m3/year ,,,,m3/sec,Unknown,,Indian & Northern Affairs Canada (8357),C/O MANAGER LANDS,600-1138 MELVILLE ST,VANCOUVER BC,,Canada,,,,Nicola / Merritt,138615839,
26295,,POD,,Inactive,0004525,,C006654,Cancelled,,,,03B,03B - Irrigation: Private ,,,,m3/year ,,,,m3/sec,Unknown,,Lower Nicola Indian Band (28337),181 NAWISHASKIN LANE,MERRITT BC,,,Canada,,,,Nicola / Merritt,138615840,
26296,PD36693,POD,,Inactive,5000480,,C066617,Abandoned,,,,03B,03B - Irrigation: Private ,Fraser River,N,481057.2,m3/year ,T,"Total demand for purpose, one POD.",,m3/sec,Unknown,,PRIVATE INDIVIDUAL NAME,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL COUNTRY,PRIVATE INDIVIDUAL POSTAL CODE,,,Quesnel / Nazko,138615841,
26310,,POD,,Inactive,0310918,,C042829,Cancelled,,,,00A,00A - Waterworks: Local Provider ,,,,m3/year ,,,,m3/sec,Unknown,09520,District of North Cowichan (10578),PO Box  278,PO Box  278 , BC V9L 3X4, BC,Canada,V9L 3X4,,,Victoria / Duncan,138615855,
26311,,POD,,Inactive,0310918,,C042830,Cancelled,,,,08A,08A - Stream Storage: Non-Power ,,,,m3/year ,,,,m3/sec,Unknown,09521,District of North Cowichan (10578),PO Box  278,PO Box  278 , BC V9L 3X4, BC,Canada,V9L 3X4,,,Victoria / Duncan,138615856,
26312,,POD,,Inactive,0322581,,C042831,Abandoned,,,,03B,03B - Irrigation: Private ,,,,m3/year ,,,,m3/sec,Unknown,,PRIVATE INDIVIDUAL NAME,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL COUNTRY,PRIVATE INDIVIDUAL POSTAL CODE,,,Cranbrook / Cranbrook,138615857,
26544,,POD,,Inactive,0270809,,C032860,Cancelled,,,,01A,01A - Domestic ,,,,m3/day ,,,,m3/sec,Unknown,,PRIVATE INDIVIDUAL NAME,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL COUNTRY,PRIVATE INDIVIDUAL POSTAL CODE,,,Vernon / Kelowna,138616089,
26555,,POD,,Inactive,0273046,,C032870,Abandoned,,,,01A,01A - Domestic ,,,,m3/day ,,,,m3/sec,Unknown,06672,PRIVATE INDIVIDUAL NAME,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL COUNTRY,PRIVATE INDIVIDUAL POSTAL CODE,,,Vernon / Vernon,138616100,
26558,,POD,,Inactive,0143730,,C058812,Abandoned,,,,03B,03B - Irrigation: Private ,,,,m3/year ,,,,m3/sec,Unknown,,PRIVATE INDIVIDUAL NAME,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL COUNTRY,PRIVATE INDIVIDUAL POSTAL CODE,,,Vernon / Peachland,138616103,
25663,,POD,,Inactive,0296307,,C036061,Cancelled,,,,01A,01A - Domestic ,,,,m3/day ,,,,m3/sec,Unknown,07692,PRIVATE INDIVIDUAL NAME,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL COUNTRY,PRIVATE INDIVIDUAL POSTAL CODE,,,New Westminster / Chilliwack,138615208,
25664,,POD,,Inactive,0296308,,C036062,Abandoned,,,,03B,03B - Irrigation: Private ,,,,m3/year ,,,,m3/sec,Unknown,,PRIVATE INDIVIDUAL NAME,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL COUNTRY,PRIVATE INDIVIDUAL POSTAL CODE,,,New Westminster / Abbotsford,138615209,
25673,,POD,,Inactive,0316333,,C042780,Abandoned,,,,03B,03B - Irrigation: Private ,,,,m3/year ,,,,m3/sec,Unknown,,PRIVATE INDIVIDUAL NAME,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL COUNTRY,PRIVATE INDIVIDUAL POSTAL CODE,,,Hazelton / Cedarvale,138615218,
25999,,POD,,Inactive,0243808,,C028728,Cancelled,,,,01A,01A - Domestic ,,,,m3/day ,,,,m3/sec,Unknown,,Canore Development Corporation (17992),C/O WILLIAM PALMER,RR 5 BOX 24,QUESNEL B C,,Canada,,,,Quesnel / Nazko,138615544,
26000,,POD,,Inactive,0244937,,C028729,Cancelled,,,,05A,05A - Mining: Hydraulic ,,,,m3/sec ,,,,m3/sec,Unknown,,Westburne Drilling (B C) Ltd (18315),PO BOX 86247,NORTH VANCOUVER B C,,,Canada,,,,Quesnel / Cottonwood,138615545,
26001,,POD,,Inactive,0245921,,C028730,Cancelled,,,,01A,01A - Domestic ,,,,m3/day ,,,,m3/sec,Unknown,,PRIVATE INDIVIDUAL NAME,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL COUNTRY,PRIVATE INDIVIDUAL POSTAL CODE,,,Quesnel / Cottonwood,138615546,
26002,,POD,,Inactive,0245917,,C028733,Cancelled,,,,01A,01A - Domestic ,,,,m3/day ,,,,m3/sec,Unknown,,PRIVATE INDIVIDUAL NAME,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL COUNTRY,PRIVATE INDIVIDUAL POSTAL CODE,,,Quesnel / Cottonwood,138615547,
26003,,POD,,Inactive,0249304,,C028739,Abandoned,,,,03B,03B - Irrigation: Private ,,,,m3/year ,,,,m3/sec,Unknown,,PRIVATE INDIVIDUAL NAME,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL COUNTRY,PRIVATE INDIVIDUAL POSTAL CODE,,,Prince George / Vanderhoof,138615548,
26004,,POD,,Inactive,0249586,,C028742,Cancelled,,,,01A,01A - Domestic ,,,,m3/day ,,,,m3/sec,Unknown,,PRIVATE INDIVIDUAL NAME,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL COUNTRY,PRIVATE INDIVIDUAL POSTAL CODE,,,Prince George / Vanderhoof,138615549,
26005,,POD,,Inactive,0249974,,C028747,Abandoned,,,,03B,03B - Irrigation: Private ,,,,m3/year ,,,,m3/sec,Unknown,,School District No 03 Kimberley (3936),SS 1,KIMBERLEY BC,,,Canada,,,,Cranbrook / St Mary,138615550,
26006,,POD,,Inactive,0245581,,C028748,Cancelled,,,,01A,01A - Domestic ,,,,m3/day ,,,,m3/sec,Unknown,05416,PRIVATE INDIVIDUAL NAME,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL COUNTRY,PRIVATE INDIVIDUAL POSTAL CODE,,,Golden / Donald,138615551,
26007,,POD,,Inactive,0245581,,C028749,Abandoned,,,,04A,04A - Land Improve: General ,,,,m3/sec ,,,,m3/sec,Unknown,05417,PRIVATE INDIVIDUAL NAME,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL COUNTRY,PRIVATE INDIVIDUAL POSTAL CODE,,,Golden / Donald,138615552,
26009,,POD,,Inactive,0269127,,C032473,Cancelled,,,,01A,01A - Domestic ,,,,m3/day ,,,,m3/sec,Unknown,,PRIVATE INDIVIDUAL NAME,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL COUNTRY,PRIVATE INDIVIDUAL POSTAL CODE,,,Vernon / Lumby,138615554,
26015,,POD,,Inactive,0267824,,C032484,Cancelled,,,,01A,01A - Domestic ,,,,m3/day ,,,,m3/sec,Unknown,,PRIVATE INDIVIDUAL NAME,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL COUNTRY,PRIVATE INDIVIDUAL POSTAL CODE,,,Nelson / Procter,138615560,
26016,,POD,,Inactive,0267824,,C032485,Cancelled,,,,01A,01A - Domestic ,,,,m3/day ,,,,m3/sec,Unknown,,PRIVATE INDIVIDUAL NAME,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL COUNTRY,PRIVATE INDIVIDUAL POSTAL CODE,,,Nelson / Procter,138615561,
26328,,POD,,Inactive,0317306,,C042852,Abandoned,,,,01A,01A - Domestic ,,,,m3/day ,,,,m3/sec,Unknown,,PRIVATE INDIVIDUAL NAME,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL COUNTRY,PRIVATE INDIVIDUAL POSTAL CODE,,,Nelson / Little Slocan,138615873,
26564,,POD,,Inactive,0370303,,C058817,Abandoned,,,,03B,03B - Irrigation: Private ,,,,m3/year ,,,,m3/sec,Unknown,,PRIVATE INDIVIDUAL NAME,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL COUNTRY,PRIVATE INDIVIDUAL POSTAL CODE,,,Prince George / McBride,138616109,
26568,,POD,,Inactive,0370306,,C058820,Cancelled,,,,03B,03B - Irrigation: Private ,,,,m3/year ,,,,m3/sec,Unknown,,Steele Kenneth C Estate Of (16776),C/O WALTER STEELE,17 COLLINGWOOD AVE,SPRUCE GROVE AB,,Canada,,,,Prince George / McBride,138616113,
26569,,POD,,Inactive,0370307,,C058821,Abandoned,,,,03B,03B - Irrigation: Private ,,,,m3/year ,,,,m3/sec,Unknown,,PRIVATE INDIVIDUAL NAME,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL COUNTRY,PRIVATE INDIVIDUAL POSTAL CODE,,,Prince George / McBride,138616114,
26570,,POD,,Inactive,0370308,,C058822,Cancelled,,,,03B,03B - Irrigation: Private ,,,,m3/year ,,,,m3/sec,Unknown,,Good Fortune Restaurant Canada Ltd (16779),404-1111 WEST GEORGIA ST,VANCOUVER B C,,,Canada,,,,Prince George / McBride,138616115,
26574,PD25045,POD,,Inactive,0340231,,C058832,Abandoned,,,,07A,07A - Power: Residential ,Doxiadis Creek,N,0.01416,m3/sec ,T,"Total demand for purpose, one POD.",,m3/sec,Unknown,13634,Pope & Talbot Ltd (50801),PO BOX 2000,NAKUSP BC,,,Canada,,,,Nelson / Camborne,138616119,
26017,,POD,,Inactive,0273343,,C032501,Abandoned,,,,01A,01A - Domestic ,,,,m3/day ,,,,m3/sec,Unknown,,PRIVATE INDIVIDUAL NAME,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL COUNTRY,PRIVATE INDIVIDUAL POSTAL CODE,,,New Westminster / Abbotsford,138615562,
26018,,POD,,Inactive,0273123,,C032502,Cancelled,,,,01A,01A - Domestic ,,,,m3/day ,,,,m3/sec,Unknown,,PRIVATE INDIVIDUAL NAME,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL COUNTRY,PRIVATE INDIVIDUAL POSTAL CODE,,,New Westminster / Chilliwack,138615563,
26024,,POD,,Inactive,0285227,,C035903,Cancelled,,,,03B,03B - Irrigation: Private ,,,,m3/year ,,,,m3/sec,Unknown,07669,Western Valley Prop Ltd (31079),191 VICTORIA STREET,KAMLOOPS BC,,,Canada,,,,Kamloops / Ducks,138615569,
26025,,POD,,Inactive,0285227,,C035904,Cancelled,,,,08A,08A - Stream Storage: Non-Power ,,,,m3/year ,,,,m3/sec,Unknown,07670,Western Valley Prop Ltd (31079),191 VICTORIA STREET,KAMLOOPS BC,,,Canada,,,,Kamloops / Ducks,138615570,
26026,,POD,,Inactive,0285272,,C035905,Cancelled,,,,03B,03B - Irrigation: Private ,,,,m3/year ,,,,m3/sec,Unknown,,PRIVATE INDIVIDUAL NAME,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL COUNTRY,PRIVATE INDIVIDUAL POSTAL CODE,,,Kamloops / Ducks,138615571,
26027,,POD,,Inactive,0285272,,C035906,Cancelled,,,,08A,08A - Stream Storage: Non-Power ,,,,m3/year ,,,,m3/sec,Unknown,07671,PRIVATE INDIVIDUAL NAME,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL COUNTRY,PRIVATE INDIVIDUAL POSTAL CODE,,,Kamloops / Ducks,138615572,
26028,,POD,,Inactive,0285750,,C035908,Cancelled,,,,03B,03B - Irrigation: Private ,,,,m3/year ,,,,m3/sec,Unknown,07672,PRIVATE INDIVIDUAL NAME,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL COUNTRY,PRIVATE INDIVIDUAL POSTAL CODE,,,Kamloops / Grand Prairie,138615573,
26029,,POD,,Inactive,0285317,,C035909,Abandoned,,,,03B,03B - Irrigation: Private ,,,,m3/year ,,,,m3/sec,Unknown,,PRIVATE INDIVIDUAL NAME,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL COUNTRY,PRIVATE INDIVIDUAL POSTAL CODE,,,Kamloops / Ducks,138615574,
26030,,POD,,Inactive,0285317,,C035910,Abandoned,,,,08A,08A - Stream Storage: Non-Power ,,,,m3/year ,,,,m3/sec,Unknown,07629,PRIVATE INDIVIDUAL NAME,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL COUNTRY,PRIVATE INDIVIDUAL POSTAL CODE,,,Kamloops / Ducks,138615575,
26031,,POD,,Inactive,0285318,,C035911,Cancelled,,,,03B,03B - Irrigation: Private ,,,,m3/year ,,,,m3/sec,Unknown,,PRIVATE INDIVIDUAL NAME,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL COUNTRY,PRIVATE INDIVIDUAL POSTAL CODE,,,Kamloops / Ducks,138615576,
26032,,POD,,Inactive,0285318,,C035912,Cancelled,,,,08A,08A - Stream Storage: Non-Power ,,,,m3/year ,,,,m3/sec,Unknown,07630,PRIVATE INDIVIDUAL NAME,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL COUNTRY,PRIVATE INDIVIDUAL POSTAL CODE,,,Kamloops / Ducks,138615577,
26585,,POD,,Inactive,0251124,,C028691,Cancelled,,,,03B,03B - Irrigation: Private ,,,,m3/year ,,,,m3/sec,Unknown,,PRIVATE INDIVIDUAL NAME,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL COUNTRY,PRIVATE INDIVIDUAL POSTAL CODE,,,Victoria / Victoria,138616130,
26588,,POD,,Inactive,0249587,,C028700,Abandoned,,,,01A,01A - Domestic ,,,,m3/day ,,,,m3/sec,Unknown,,PRIVATE INDIVIDUAL NAME,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL COUNTRY,PRIVATE INDIVIDUAL POSTAL CODE,,,New Westminster / Chilliwack,138616133,
26589,,POD,,Inactive,0249587,,C028700,Abandoned,,,,03B,03B - Irrigation: Private ,,,,m3/year ,,,,m3/sec,Unknown,,PRIVATE INDIVIDUAL NAME,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL COUNTRY,PRIVATE INDIVIDUAL POSTAL CODE,,,New Westminster / Chilliwack,138616134,
26593,,POD,,Inactive,0296223,,C035943,Cancelled,,,,04A,04A - Land Improve: General ,,,,m3/day ,,,,m3/sec,Unknown,,PRIVATE INDIVIDUAL NAME,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL COUNTRY,PRIVATE INDIVIDUAL POSTAL CODE,,,New Westminster / Abbotsford,138616138,
26599,,POD,,Inactive,0290621,,C035955,Cancelled,,,,01A,01A - Domestic ,,,,m3/day ,,,,m3/sec,Unknown,,PRIVATE INDIVIDUAL NAME,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL COUNTRY,PRIVATE INDIVIDUAL POSTAL CODE,,,Nanaimo / Nanaimo,138616144,
26602,,POD,,Inactive,0290455,,C035958,Cancelled,,,,01A,01A - Domestic ,,,,m3/day ,,,,m3/sec,Unknown,,PRIVATE INDIVIDUAL NAME,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL COUNTRY,PRIVATE INDIVIDUAL POSTAL CODE,,,Nanaimo / Nanaimo,138616147,
26603,,POD,,Inactive,0290456,,C035959,Cancelled,,,,01A,01A - Domestic ,,,,m3/day ,,,,m3/sec,Unknown,,PRIVATE INDIVIDUAL NAME,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL COUNTRY,PRIVATE INDIVIDUAL POSTAL CODE,,,Nanaimo / Nanaimo,138616148,
25718,,POD,,Inactive,0305304,,C039904,Cancelled,,,,01A,01A - Domestic ,,,,m3/day ,,,,m3/sec,Unknown,,Falkoski Logging Ltd (33076),RR 1,BRIDEVILLE BC,,,Canada,,,,Grand Forks / Mckinney,138615263,
25720,,POD,,Inactive,0296883,,C036510,Abandoned,,,,03B,03B - Irrigation: Private ,,,,m3/year ,,,,m3/sec,Unknown,,PRIVATE INDIVIDUAL NAME,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL COUNTRY,PRIVATE INDIVIDUAL POSTAL CODE,,,Kamloops / Sicamous,138615265,
25721,,POD,,Inactive,0296941,,C036511,Cancelled,,,,01A,01A - Domestic ,,,,m3/day ,,,,m3/sec,Unknown,,PRIVATE INDIVIDUAL NAME,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL COUNTRY,PRIVATE INDIVIDUAL POSTAL CODE,,,Vernon / Vernon,138615266,
25722,,POD,,Inactive,0296941,,C036511,Cancelled,,,,03B,03B - Irrigation: Private ,,,,m3/year ,,,,m3/sec,Unknown,,PRIVATE INDIVIDUAL NAME,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL COUNTRY,PRIVATE INDIVIDUAL POSTAL CODE,,,Vernon / Vernon,138615267,
26044,,POD,,Inactive,0281967,,C035926,Abandoned,,,,01A,01A - Domestic ,,,,m3/day ,,,,m3/sec,Unknown,07636,PRIVATE INDIVIDUAL NAME,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL COUNTRY,PRIVATE INDIVIDUAL POSTAL CODE,,,Cranbrook / Cherry Creek,138615589,
26045,,POD,,Inactive,0281967,,C035926,Abandoned,,,,03B,03B - Irrigation: Private ,,,,m3/year ,,,,m3/sec,Unknown,07636,PRIVATE INDIVIDUAL NAME,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL COUNTRY,PRIVATE INDIVIDUAL POSTAL CODE,,,Cranbrook / Cherry Creek,138615590,
25726,,POD,,Inactive,0285793,,C036515,Abandoned,,,,03B,03B - Irrigation: Private ,,,,m3/year ,,,,m3/sec,Unknown,,PRIVATE INDIVIDUAL NAME,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL COUNTRY,PRIVATE INDIVIDUAL POSTAL CODE,,,Prince George / Parsnip,138615271,
25727,,POD,,Inactive,0290540,,C036516,Cancelled,,,,01A,01A - Domestic ,,,,m3/day ,,,,m3/sec,Unknown,,PRIVATE INDIVIDUAL NAME,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL COUNTRY,PRIVATE INDIVIDUAL POSTAL CODE,,,Prince George / Upper Fraser,138615272,
25744,,POD,,Inactive,0310872,,C042787,Abandoned,,,,02D,02D - Comm. Enterprise: Enterprise ,,,,m3/day ,,,,m3/sec,Unknown,,Macmillan Bloedel Ltd (10146),PROPERTIES DIVISION,4TH FLR 925 GEORGIA ST W,VANCOUVER BC,,Canada,,,,Prince Rupert / Queen Charlotte,138615289,
25745,,POD,,Inactive,0322562,,C042790,Abandoned,,,,03B,03B - Irrigation: Private ,,,,m3/year ,,,,m3/sec,Unknown,,PRIVATE INDIVIDUAL NAME,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL COUNTRY,PRIVATE INDIVIDUAL POSTAL CODE,,,Nanaimo / Nanaimo,138615290,
26624,PD28206,POD,,Inactive,0273573,,C032874,Abandoned,,,,02D,02D - Comm. Enterprise: Enterprise ,Slalom Brook,N,45.4609,m3/day ,T,"Total demand for purpose, one POD.",,m3/sec,Unknown,,RMR Acquisition Corp. (6130),BOX 670,ROSSLAND BC,,,Canada,,,,Nelson / Rossland,138616169,
26629,,POD,,Inactive,0273627,,C032883,Cancelled,,,,01A,01A - Domestic ,,,,m3/day ,,,,m3/sec,Unknown,,PRIVATE INDIVIDUAL NAME,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL COUNTRY,PRIVATE INDIVIDUAL POSTAL CODE,,,Hazelton / Smithers,138616174,
26636,,POD,,Inactive,0273412,,C036043,Abandoned,,,,01A,01A - Domestic ,,,,m3/day ,,,,m3/sec,Unknown,,PRIVATE INDIVIDUAL NAME,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL COUNTRY,PRIVATE INDIVIDUAL POSTAL CODE,,,Nelson / Waneta,138616181,
